backbone,batch_size,double_img,output_tab,torch_version,torchvision_version,cuda_version,torchvision_cuda_version,running_cuda,total_mem_mb,host_name
regnet,16,False,0,1.12.0+cu113,0.13.0+cu113,11.3,11030,11.2,1897,magneto
regnet,16,True,0,1.12.0+cu113,0.13.0+cu113,11.3,11030,11.2,3522,magneto
regnet,16,False,5,1.12.0+cu113,0.13.0+cu113,11.3,11030,11.2,1906,magneto
regnet,16,True,5,1.12.0+cu113,0.13.0+cu113,11.3,11030,11.2,3522,magneto
mobile,16,False,0,1.12.0+cu113,0.13.0+cu113,11.3,11030,11.2,1688,magneto
mobile,16,True,0,1.12.0+cu113,0.13.0+cu113,11.3,11030,11.2,3102,magneto
mobile,16,False,5,1.12.0+cu113,0.13.0+cu113,11.3,11030,11.2,1650,magneto
mobile,16,True,5,1.12.0+cu113,0.13.0+cu113,11.3,11030,11.2,3102,magneto
shuffle,16,False,0,1.12.0+cu113,0.13.0+cu113,11.3,11030,11.2,1062,magneto
shuffle,16,True,0,1.12.0+cu113,0.13.0+cu113,11.3,11030,11.2,2119,magneto
shuffle,16,False,5,1.12.0+cu113,0.13.0+cu113,11.3,11030,11.2,1080,magneto
shuffle,16,True,5,1.12.0+cu113,0.13.0+cu113,11.3,11030,11.2,2119,magneto
efficient,16,False,0,1.12.0+cu113,0.13.0+cu113,11.3,11030,11.2,2972,magneto
efficient,16,False,0,1.12.0+cu113,0.13.0+cu113,11.3,11030,11.2,2972,magneto
efficient,16,True,0,1.12.0+cu113,0.13.0+cu113,11.3,11030,11.2,5962,magneto
efficient,16,False,5,1.12.0+cu113,0.13.0+cu113,11.3,11030,11.2,3002,magneto
efficient,16,True,5,1.12.0+cu113,0.13.0+cu113,11.3,11030,11.2,5962,magneto
regnet16,16,False,0,1.12.0+cu113,0.13.0+cu113,11.3,11030,11.2,2792,magneto
regnet16,16,True,0,1.12.0+cu113,0.13.0+cu113,11.3,11030,11.2,5432,magneto
regnet16,16,False,5,1.12.0+cu113,0.13.0+cu113,11.3,11030,11.2,2822,magneto
regnet16,16,True,5,1.12.0+cu113,0.13.0+cu113,11.3,11030,11.2,5432,magneto
regnet32,16,False,0,1.12.0+cu113,0.13.0+cu113,11.3,11030,11.2,4202,magneto
regnet32,16,True,0,1.12.0+cu113,0.13.0+cu113,11.3,11030,11.2,8112,magneto
regnet32,16,False,5,1.12.0+cu113,0.13.0+cu113,11.3,11030,11.2,4242,magneto
regnet32,16,True,5,1.12.0+cu113,0.13.0+cu113,11.3,11030,11.2,8112,magneto
inception,16,False,0,1.12.0+cu113,0.13.0+cu113,11.3,11030,11.2,4142,magneto
inception,16,False,0,1.12.0+cu113,0.13.0+cu113,11.3,11030,11.2,4142,magneto
inception,16,True,0,1.12.0+cu113,0.13.0+cu113,11.3,11030,11.2,8132,magneto
inception,16,False,5,1.12.0+cu113,0.13.0+cu113,11.3,11030,11.2,4212,magneto
inception,16,True,5,1.12.0+cu113,0.13.0+cu113,11.3,11030,11.2,8132,magneto
regnetx,16,False,0,1.12.0+cu113,0.13.0+cu113,11.3,11030,11.2,1683,magneto
regnetx,16,True,0,1.12.0+cu113,0.13.0+cu113,11.3,11030,11.2,3112,magneto
regnetx,16,False,5,1.12.0+cu113,0.13.0+cu113,11.3,11030,11.2,1695,magneto
regnetx,16,True,5,1.12.0+cu113,0.13.0+cu113,11.3,11030,11.2,3112,magneto
regnet16x,16,False,0,1.12.0+cu113,0.13.0+cu113,11.3,11030,11.2,2442,magneto
regnet16x,16,True,0,1.12.0+cu113,0.13.0+cu113,11.3,11030,11.2,4622,magneto
regnet16x,16,False,5,1.12.0+cu113,0.13.0+cu113,11.3,11030,11.2,2462,magneto
regnet16x,16,True,5,1.12.0+cu113,0.13.0+cu113,11.3,11030,11.2,4622,magneto
regnet32x,16,False,0,1.12.0+cu113,0.13.0+cu113,11.3,11030,11.2,3702,magneto
regnet32x,16,True,0,1.12.0+cu113,0.13.0+cu113,11.3,11030,11.2,7032,magneto
regnet32x,16,False,5,1.12.0+cu113,0.13.0+cu113,11.3,11030,11.2,3722,magneto
regnet32x,16,True,5,1.12.0+cu113,0.13.0+cu113,11.3,11030,11.2,7032,magneto
vit,16,False,0,1.12.0+cu113,0.13.0+cu113,11.3,11030,11.2,7262,magneto
vit,16,True,0,1.12.0+cu113,0.13.0+cu113,11.3,11030,11.2,14402,magneto
vit,16,False,5,1.12.0+cu113,0.13.0+cu113,11.3,11030,11.2,7292,magneto
vit,16,True,5,1.12.0+cu113,0.13.0+cu113,11.3,11030,11.2,14392,magneto
resnet,16,False,0,1.12.0+cu113,0.13.0+cu113,11.3,11030,11.2,3812,magneto
resnet,16,True,0,1.12.0+cu113,0.13.0+cu113,11.3,11030,11.2,7432,magneto
resnet,16,False,5,1.12.0+cu113,0.13.0+cu113,11.3,11030,11.2,3892,magneto
resnet,16,True,5,1.12.0+cu113,0.13.0+cu113,11.3,11030,11.2,7432,magneto
