backbone,optim,lr,batch_size,frac_val,early_start,epochs,output_tab,double_img,torch_version,torchvision_version,executed,mem_usage,cum_mem
regnetx,radam,0.01,16,0.2,100,100,0,1.0,1.12.0+cu113,0.13.0+cu113,0,2446,516890
regnetx,radam,0.001,16,0.2,100,100,0,1.0,1.12.0+cu113,0.13.0+cu113,0,2446,519336
regnetx,radam,0.0001,16,0.2,100,100,0,1.0,1.12.0+cu113,0.13.0+cu113,0,2446,521782
regnetx,radam,0.0005,16,0.2,100,100,0,1.0,1.12.0+cu113,0.13.0+cu113,0,2446,524228
regnetx,radam,0.01,16,0.2,100,100,5,1.0,1.12.0+cu113,0.13.0+cu113,0,2446,558472
regnetx,radam,0.001,16,0.2,100,100,5,1.0,1.12.0+cu113,0.13.0+cu113,0,2446,560918
regnetx,radam,0.0001,16,0.2,100,100,5,1.0,1.12.0+cu113,0.13.0+cu113,0,2446,565810
regnetx,radam,0.0005,16,0.2,100,100,5,1.0,1.12.0+cu113,0.13.0+cu113,0,2446,568256
resnet,radam,0.01,16,0.2,100,100,5,0.0,1.12.0+cu113,0.13.0+cu113,0,2774,784130
regnet32x,radam,0.0005,16,0.2,100,100,0,0.0,1.12.0+cu113,0.13.0+cu113,0,2848,828736
regnet32x,radam,0.0001,16,0.2,100,100,0,0.0,1.12.0+cu113,0.13.0+cu113,0,2848,831584
regnet32x,radam,0.001,16,0.2,100,100,0,0.0,1.12.0+cu113,0.13.0+cu113,0,2848,834432
regnet32x,radam,0.01,16,0.2,100,100,0,0.0,1.12.0+cu113,0.13.0+cu113,0,2848,837280
regnet32x,radam,0.001,16,0.2,100,100,5,0.0,1.12.0+cu113,0.13.0+cu113,0,2890,868650
regnet32x,radam,0.01,16,0.2,100,100,5,0.0,1.12.0+cu113,0.13.0+cu113,0,2890,871540
regnet32x,radam,0.0001,16,0.2,100,100,5,0.0,1.12.0+cu113,0.13.0+cu113,0,2890,903330
regnet32x,radam,0.0005,16,0.2,100,100,5,0.0,1.12.0+cu113,0.13.0+cu113,0,2890,912000
regnet16x,radam,0.001,16,0.2,100,100,5,1.0,1.12.0+cu113,0.13.0+cu113,0,3284,1023868
regnet16x,radam,0.0001,16,0.2,100,100,5,1.0,1.12.0+cu113,0.13.0+cu113,0,3284,1027152
regnet16x,radam,0.01,16,0.2,100,100,5,1.0,1.12.0+cu113,0.13.0+cu113,0,3284,1030436
regnet16x,radam,0.0005,16,0.2,100,100,5,1.0,1.12.0+cu113,0.13.0+cu113,0,3284,1037004
regnet16x,radam,0.0001,16,0.2,100,100,0,1.0,1.12.0+cu113,0.13.0+cu113,0,3284,1073128
regnet16x,radam,0.0005,16,0.2,100,100,0,1.0,1.12.0+cu113,0.13.0+cu113,0,3284,1089548
regnet16x,radam,0.01,16,0.2,100,100,0,1.0,1.12.0+cu113,0.13.0+cu113,0,3284,1112536
regnet16x,radam,0.001,16,0.2,100,100,0,1.0,1.12.0+cu113,0.13.0+cu113,0,3284,1115820
inception,radam,0.0005,16,0.2,100,100,0,0.0,1.12.0+cu113,0.13.0+cu113,0,3384,1122488
inception,radam,0.0001,16,0.2,100,100,0,0.0,1.12.0+cu113,0.13.0+cu113,0,3384,1129256
inception,radam,0.01,16,0.2,100,100,0,0.0,1.12.0+cu113,0.13.0+cu113,0,3384,1132640
inception,radam,0.001,16,0.2,100,100,0,0.0,1.12.0+cu113,0.13.0+cu113,0,3384,1149560
regnet32x,radam,0.001,16,0.2,100,100,0,1.0,1.12.0+cu113,0.13.0+cu113,0,4666,1530936
regnet32x,radam,0.0001,16,0.2,100,100,0,1.0,1.12.0+cu113,0.13.0+cu113,0,4666,1535602
regnet32x,radam,0.0005,16,0.2,100,100,0,1.0,1.12.0+cu113,0.13.0+cu113,0,4666,1540268
regnet32x,radam,0.01,16,0.2,100,100,5,1.0,1.12.0+cu113,0.13.0+cu113,0,4666,1596260
regnet32x,radam,0.001,16,0.2,100,100,5,1.0,1.12.0+cu113,0.13.0+cu113,0,4666,1600926
regnet32x,radam,0.0001,16,0.2,100,100,5,1.0,1.12.0+cu113,0.13.0+cu113,0,4666,1605592
regnet32x,radam,0.0005,16,0.2,100,100,5,1.0,1.12.0+cu113,0.13.0+cu113,0,4666,1610258
regnet32x,radam,0.01,16,0.2,100,100,0,1.0,1.12.0+cu113,0.13.0+cu113,0,4666,1624256
inception,radam,0.0001,16,0.2,100,100,0,1.0,1.12.0+cu113,0.13.0+cu113,0,5404,2074140
resnet,radam,0.01,16,0.2,100,100,5,1.0,1.12.0+cu113,0.13.0+cu113,0,5762,2222120
