backbone,optim,lr,batch_size,frac_val,early_start,epochs,output_tab,double_img,torch_version,torchvision_version,executed,mem_usage,cum_mem
shuffle,adam,0.01,16,0.2,100,100,0,0.0,1.12.0+cu113,0.13.0+cu113,1,1326,1326
shuffle,radam,0.0005,16,0.2,100,100,0,0.0,1.12.0+cu113,0.13.0+cu113,1,1326,2652
shuffle,radam,0.0001,16,0.2,100,100,0,0.0,1.12.0+cu113,0.13.0+cu113,1,1326,3978
shuffle,radam,0.001,16,0.2,100,100,0,0.0,1.12.0+cu113,0.13.0+cu113,1,1326,5304
shuffle,radam,0.01,16,0.2,100,100,0,0.0,1.12.0+cu113,0.13.0+cu113,1,1326,6630
shuffle,sgd,0.0005,16,0.2,100,100,0,0.0,1.12.0+cu113,0.13.0+cu113,1,1326,7956
shuffle,sgd,0.0001,16,0.2,100,100,0,0.0,1.12.0+cu113,0.13.0+cu113,1,1326,9282
shuffle,sgd,0.001,16,0.2,100,100,0,0.0,1.12.0+cu113,0.13.0+cu113,1,1326,10608
shuffle,adam,0.001,16,0.2,100,100,0,0.0,1.12.0+cu113,0.13.0+cu113,1,1326,11934
shuffle,ranger,0.0005,16,0.2,100,100,0,0.0,1.12.0+cu113,0.13.0+cu113,1,1326,13260
shuffle,ranger,0.0001,16,0.2,100,100,0,0.0,1.12.0+cu113,0.13.0+cu113,1,1326,14586
shuffle,ranger,0.001,16,0.2,100,100,0,0.0,1.12.0+cu113,0.13.0+cu113,1,1326,15912
shuffle,ranger,0.01,16,0.2,100,100,0,0.0,1.12.0+cu113,0.13.0+cu113,1,1326,17238
shuffle,adam,0.0005,16,0.2,100,100,0,0.0,1.12.0+cu113,0.13.0+cu113,1,1326,18564
shuffle,adam,0.0001,16,0.2,100,100,0,0.0,1.12.0+cu113,0.13.0+cu113,1,1326,19890
shuffle,sgd,0.01,16,0.2,100,100,0,0.0,1.12.0+cu113,0.13.0+cu113,1,1326,21216
shuffle,radam,0.0005,16,0.2,100,100,5,0.0,1.12.0+cu113,0.13.0+cu113,1,1350,22566
shuffle,radam,0.0001,16,0.2,100,100,5,0.0,1.12.0+cu113,0.13.0+cu113,1,1350,23916
shuffle,radam,0.001,16,0.2,100,100,5,0.0,1.12.0+cu113,0.13.0+cu113,1,1350,25266
shuffle,radam,0.01,16,0.2,100,100,5,0.0,1.12.0+cu113,0.13.0+cu113,1,1350,26616
shuffle,sgd,0.0005,16,0.2,100,100,5,0.0,1.12.0+cu113,0.13.0+cu113,1,1350,27966
shuffle,sgd,0.0001,16,0.2,100,100,5,0.0,1.12.0+cu113,0.13.0+cu113,1,1350,29316
shuffle,sgd,0.001,16,0.2,100,100,5,0.0,1.12.0+cu113,0.13.0+cu113,1,1350,30666
shuffle,sgd,0.01,16,0.2,100,100,5,0.0,1.12.0+cu113,0.13.0+cu113,1,1350,32016
shuffle,ranger,0.0005,16,0.2,100,100,5,0.0,1.12.0+cu113,0.13.0+cu113,1,1350,33366
shuffle,ranger,0.0001,16,0.2,100,100,5,0.0,1.12.0+cu113,0.13.0+cu113,1,1350,34716
shuffle,ranger,0.001,16,0.2,100,100,5,0.0,1.12.0+cu113,0.13.0+cu113,1,1350,36066
shuffle,ranger,0.01,16,0.2,100,100,5,0.0,1.12.0+cu113,0.13.0+cu113,1,1350,37416
shuffle,adam,0.0005,16,0.2,100,100,5,0.0,1.12.0+cu113,0.13.0+cu113,1,1350,38766
shuffle,adam,0.0001,16,0.2,100,100,5,0.0,1.12.0+cu113,0.13.0+cu113,1,1350,40116
shuffle,adam,0.001,16,0.2,100,100,5,0.0,1.12.0+cu113,0.13.0+cu113,1,1350,41466
shuffle,adam,0.01,16,0.2,100,100,5,0.0,1.12.0+cu113,0.13.0+cu113,1,1350,42816
mobile,radam,0.0005,16,0.2,100,100,0,0.0,1.12.0+cu113,0.13.0+cu113,1,1676,44492
mobile,radam,0.0001,16,0.2,100,100,0,0.0,1.12.0+cu113,0.13.0+cu113,1,1676,46168
mobile,radam,0.001,16,0.2,100,100,0,0.0,1.12.0+cu113,0.13.0+cu113,1,1676,47844
mobile,radam,0.01,16,0.2,100,100,0,0.0,1.12.0+cu113,0.13.0+cu113,1,1676,49520
mobile,sgd,0.0005,16,0.2,100,100,0,0.0,1.12.0+cu113,0.13.0+cu113,1,1676,51196
mobile,sgd,0.0001,16,0.2,100,100,0,0.0,1.12.0+cu113,0.13.0+cu113,1,1676,52872
mobile,sgd,0.001,16,0.2,100,100,0,0.0,1.12.0+cu113,0.13.0+cu113,1,1676,54548
mobile,ranger,0.001,16,0.2,100,100,0,0.0,1.12.0+cu113,0.13.0+cu113,1,1676,56224
mobile,ranger,0.0005,16,0.2,100,100,0,0.0,1.12.0+cu113,0.13.0+cu113,1,1676,57900
mobile,sgd,0.01,16,0.2,100,100,0,0.0,1.12.0+cu113,0.13.0+cu113,1,1676,59576
mobile,adam,0.001,16,0.2,100,100,0,0.0,1.12.0+cu113,0.13.0+cu113,1,1676,61252
mobile,adam,0.0001,16,0.2,100,100,0,0.0,1.12.0+cu113,0.13.0+cu113,1,1676,62928
mobile,adam,0.01,16,0.2,100,100,0,0.0,1.12.0+cu113,0.13.0+cu113,1,1676,64604
mobile,ranger,0.01,16,0.2,100,100,0,0.0,1.12.0+cu113,0.13.0+cu113,1,1676,66280
mobile,ranger,0.0001,16,0.2,100,100,0,0.0,1.12.0+cu113,0.13.0+cu113,1,1676,67956
mobile,adam,0.0005,16,0.2,100,100,0,0.0,1.12.0+cu113,0.13.0+cu113,1,1676,69632
mobile,radam,0.0001,16,0.2,100,100,5,0.0,1.12.0+cu113,0.13.0+cu113,1,1684,71316
mobile,radam,0.001,16,0.2,100,100,5,0.0,1.12.0+cu113,0.13.0+cu113,1,1684,73000
mobile,radam,0.01,16,0.2,100,100,5,0.0,1.12.0+cu113,0.13.0+cu113,1,1684,74684
mobile,sgd,0.0005,16,0.2,100,100,5,0.0,1.12.0+cu113,0.13.0+cu113,1,1684,76368
mobile,sgd,0.0001,16,0.2,100,100,5,0.0,1.12.0+cu113,0.13.0+cu113,1,1684,78052
mobile,sgd,0.001,16,0.2,100,100,5,0.0,1.12.0+cu113,0.13.0+cu113,1,1684,79736
mobile,sgd,0.01,16,0.2,100,100,5,0.0,1.12.0+cu113,0.13.0+cu113,1,1684,81420
mobile,ranger,0.0005,16,0.2,100,100,5,0.0,1.12.0+cu113,0.13.0+cu113,1,1684,83104
mobile,ranger,0.001,16,0.2,100,100,5,0.0,1.12.0+cu113,0.13.0+cu113,1,1684,84788
mobile,adam,0.0005,16,0.2,100,100,5,0.0,1.12.0+cu113,0.13.0+cu113,1,1684,86472
mobile,adam,0.0001,16,0.2,100,100,5,0.0,1.12.0+cu113,0.13.0+cu113,1,1684,88156
mobile,adam,0.001,16,0.2,100,100,5,0.0,1.12.0+cu113,0.13.0+cu113,1,1684,89840
mobile,adam,0.01,16,0.2,100,100,5,0.0,1.12.0+cu113,0.13.0+cu113,1,1684,91524
mobile,radam,0.0005,16,0.2,100,100,5,0.0,1.12.0+cu113,0.13.0+cu113,1,1684,93208
mobile,ranger,0.0001,16,0.2,100,100,5,0.0,1.12.0+cu113,0.13.0+cu113,1,1684,94892
mobile,ranger,0.01,16,0.2,100,100,5,0.0,1.12.0+cu113,0.13.0+cu113,1,1684,96576
regnetx,adam,0.01,16,0.2,100,100,0,0.0,1.12.0+cu113,0.13.0+cu113,1,1706,98282
regnetx,sgd,0.0005,16,0.2,100,100,0,0.0,1.12.0+cu113,0.13.0+cu113,1,1706,99988
regnetx,radam,0.0005,16,0.2,100,100,0,0.0,1.12.0+cu113,0.13.0+cu113,1,1706,101694
regnetx,radam,0.0001,16,0.2,100,100,0,0.0,1.12.0+cu113,0.13.0+cu113,1,1706,103400
regnetx,radam,0.001,16,0.2,100,100,0,0.0,1.12.0+cu113,0.13.0+cu113,1,1706,105106
regnetx,radam,0.01,16,0.2,100,100,0,0.0,1.12.0+cu113,0.13.0+cu113,1,1706,106812
regnetx,sgd,0.0001,16,0.2,100,100,0,0.0,1.12.0+cu113,0.13.0+cu113,1,1706,108518
regnetx,sgd,0.001,16,0.2,100,100,0,0.0,1.12.0+cu113,0.13.0+cu113,1,1706,110224
regnetx,sgd,0.01,16,0.2,100,100,0,0.0,1.12.0+cu113,0.13.0+cu113,1,1706,111930
regnetx,ranger,0.0001,16,0.2,100,100,0,0.0,1.12.0+cu113,0.13.0+cu113,1,1706,113636
regnetx,ranger,0.001,16,0.2,100,100,0,0.0,1.12.0+cu113,0.13.0+cu113,1,1706,115342
regnetx,ranger,0.01,16,0.2,100,100,0,0.0,1.12.0+cu113,0.13.0+cu113,1,1706,117048
regnetx,adam,0.0005,16,0.2,100,100,0,0.0,1.12.0+cu113,0.13.0+cu113,1,1706,118754
regnetx,adam,0.0001,16,0.2,100,100,0,0.0,1.12.0+cu113,0.13.0+cu113,1,1706,120460
regnetx,adam,0.001,16,0.2,100,100,0,0.0,1.12.0+cu113,0.13.0+cu113,1,1706,122166
regnetx,ranger,0.0005,16,0.2,100,100,0,0.0,1.12.0+cu113,0.13.0+cu113,1,1706,123872
regnetx,radam,0.01,16,0.2,100,100,5,0.0,1.12.0+cu113,0.13.0+cu113,1,1712,125584
regnetx,sgd,0.0005,16,0.2,100,100,5,0.0,1.12.0+cu113,0.13.0+cu113,1,1712,127296
regnetx,radam,0.001,16,0.2,100,100,5,0.0,1.12.0+cu113,0.13.0+cu113,1,1712,129008
regnetx,sgd,0.0001,16,0.2,100,100,5,0.0,1.12.0+cu113,0.13.0+cu113,1,1712,130720
regnetx,radam,0.0005,16,0.2,100,100,5,0.0,1.12.0+cu113,0.13.0+cu113,1,1712,132432
regnetx,sgd,0.001,16,0.2,100,100,5,0.0,1.12.0+cu113,0.13.0+cu113,1,1712,134144
regnetx,radam,0.0001,16,0.2,100,100,5,0.0,1.12.0+cu113,0.13.0+cu113,1,1712,135856
regnetx,sgd,0.01,16,0.2,100,100,5,0.0,1.12.0+cu113,0.13.0+cu113,1,1712,137568
regnetx,adam,0.0005,16,0.2,100,100,5,0.0,1.12.0+cu113,0.13.0+cu113,1,1712,139280
regnetx,ranger,0.0001,16,0.2,100,100,5,0.0,1.12.0+cu113,0.13.0+cu113,1,1712,140992
regnetx,ranger,0.001,16,0.2,100,100,5,0.0,1.12.0+cu113,0.13.0+cu113,1,1712,142704
regnetx,ranger,0.01,16,0.2,100,100,5,0.0,1.12.0+cu113,0.13.0+cu113,1,1712,144416
regnetx,adam,0.0001,16,0.2,100,100,5,0.0,1.12.0+cu113,0.13.0+cu113,1,1712,146128
regnetx,adam,0.001,16,0.2,100,100,5,0.0,1.12.0+cu113,0.13.0+cu113,1,1712,147840
regnetx,adam,0.01,16,0.2,100,100,5,0.0,1.12.0+cu113,0.13.0+cu113,1,1712,149552
regnetx,ranger,0.0005,16,0.2,100,100,5,0.0,1.12.0+cu113,0.13.0+cu113,1,1712,151264
regnet,radam,0.0005,16,0.2,100,100,0,0.0,1.12.0+cu113,0.13.0+cu113,1,1800,153064
regnet,sgd,0.001,16,0.2,100,100,0,0.0,1.12.0+cu113,0.13.0+cu113,1,1800,154864
regnet,radam,0.0001,16,0.2,100,100,0,0.0,1.12.0+cu113,0.13.0+cu113,1,1800,156664
regnet,radam,0.001,16,0.2,100,100,0,0.0,1.12.0+cu113,0.13.0+cu113,1,1800,158464
regnet,radam,0.01,16,0.2,100,100,0,0.0,1.12.0+cu113,0.13.0+cu113,1,1800,160264
regnet,sgd,0.0005,16,0.2,100,100,0,0.0,1.12.0+cu113,0.13.0+cu113,1,1800,162064
regnet,sgd,0.0001,16,0.2,100,100,0,0.0,1.12.0+cu113,0.13.0+cu113,1,1800,163864
regnet,sgd,0.01,16,0.2,100,100,0,0.0,1.12.0+cu113,0.13.0+cu113,1,1800,165664
regnet,adam,0.01,16,0.2,100,100,0,0.0,1.12.0+cu113,0.13.0+cu113,1,1800,167464
regnet,ranger,0.0001,16,0.2,100,100,0,0.0,1.12.0+cu113,0.13.0+cu113,1,1800,169264
regnet,ranger,0.001,16,0.2,100,100,0,0.0,1.12.0+cu113,0.13.0+cu113,1,1800,171064
regnet,ranger,0.01,16,0.2,100,100,0,0.0,1.12.0+cu113,0.13.0+cu113,1,1800,172864
regnet,adam,0.0005,16,0.2,100,100,0,0.0,1.12.0+cu113,0.13.0+cu113,1,1800,174664
regnet,adam,0.0001,16,0.2,100,100,0,0.0,1.12.0+cu113,0.13.0+cu113,1,1800,176464
regnet,adam,0.001,16,0.2,100,100,0,0.0,1.12.0+cu113,0.13.0+cu113,1,1800,178264
regnet,ranger,0.0005,16,0.2,100,100,0,0.0,1.12.0+cu113,0.13.0+cu113,1,1800,180064
regnet,sgd,0.001,16,0.2,100,100,5,0.0,1.12.0+cu113,0.13.0+cu113,1,1802,181866
regnet,radam,0.0001,16,0.2,100,100,5,0.0,1.12.0+cu113,0.13.0+cu113,1,1802,183668
regnet,radam,0.001,16,0.2,100,100,5,0.0,1.12.0+cu113,0.13.0+cu113,1,1802,185470
regnet,radam,0.01,16,0.2,100,100,5,0.0,1.12.0+cu113,0.13.0+cu113,1,1802,187272
regnet,sgd,0.0005,16,0.2,100,100,5,0.0,1.12.0+cu113,0.13.0+cu113,1,1802,189074
regnet,sgd,0.0001,16,0.2,100,100,5,0.0,1.12.0+cu113,0.13.0+cu113,1,1802,190876
regnet,sgd,0.01,16,0.2,100,100,5,0.0,1.12.0+cu113,0.13.0+cu113,1,1802,192678
regnet,radam,0.0005,16,0.2,100,100,5,0.0,1.12.0+cu113,0.13.0+cu113,1,1802,194480
regnet,ranger,0.0001,16,0.2,100,100,5,0.0,1.12.0+cu113,0.13.0+cu113,1,1802,196282
regnet,ranger,0.001,16,0.2,100,100,5,0.0,1.12.0+cu113,0.13.0+cu113,1,1802,198084
regnet,ranger,0.01,16,0.2,100,100,5,0.0,1.12.0+cu113,0.13.0+cu113,1,1802,199886
regnet,adam,0.0005,16,0.2,100,100,5,0.0,1.12.0+cu113,0.13.0+cu113,1,1802,201688
