                      model_id_x,k_fold, backbone, optim,   lr,Usando OCT,val_best_auc,val_best_auc_lrd,avg_best_auc_val,avg_best_auc_val_lrd,idx_max_sp_val,idx_max_sp_val_lrd,idx_avg_sp_val,idx_avg_sp_val_lrd,idx_max_sn_val,idx_max_sn_val_lrd,idx_avg_sn_val,idx_avg_sn_val_lrd,best_auc_improvement(%),avg_auc_improvement(%),best_sn_improvement(%),avg_sn_improvement(%),best_sp_improvement(%),avg_sp_improvement(%),inference_time,total_mem_mb
a50e719c914f4e07a6dc5fe36c191780,   5.0,regnet16x, radam,0.001,       Não,       0.792,           0.899,           0.733,               0.818,          0.78,             0.929,         0.753,             0.913,          0.72,             0.882,         0.601,             0.722,                   13.5,                 11.58,                 22.55,                20.17,                 19.13,                21.37,         0.044,        2402
1a500bc2ea8340bcbcad33a2f440b7b7,   5.0,regnet16x, radam,  0.0,       Não,       0.828,           0.888,           0.746,               0.801,         0.874,             0.924,         0.857,             0.906,         0.783,             0.853,         0.711,             0.695,                   7.26,                  7.34,                  8.99,                -2.21,                  5.71,                 5.78,         0.039,        2402
de1ebc7a3d6441eab6255419c53cfd94,   5.0,inception,ranger,  0.0,       Não,        0.81,           0.859,           0.724,               0.781,         0.946,             0.951,         0.911,             0.891,         0.674,             0.794,         0.526,              0.67,                   6.05,                  7.78,                 17.84,                27.49,                  0.53,                -2.22,         0.043,        4722
a9607c10eea64a0487913d8b087664a5,   5.0,inception,   sgd, 0.01,       Não,       0.812,           0.811,            0.76,               0.756,         0.928,             0.962,         0.896,              0.88,         0.696,             0.818,         0.554,             0.633,                  -0.13,                 -0.48,                 17.61,                14.34,                  3.66,                -1.76,         0.044,        4722
a948d6ee6c3f4fbb8804e4a51aea2890,   5.0,inception,ranger,0.001,       Não,       0.812,           0.899,           0.745,               0.795,         0.928,             0.935,         0.894,             0.923,         0.696,             0.882,         0.627,             0.666,                  10.72,                  6.66,                 26.84,                 6.33,                  0.72,                 3.26,         0.044,        4722
5addd14041e54ea0b45050f8b2b840e2,   5.0,regnet32x, radam,0.001,       Não,       0.849,           0.882,           0.763,               0.805,         0.937,             0.947,         0.906,             0.905,         0.761,             0.882,          0.59,             0.706,                   3.88,                  5.55,                 15.97,                19.53,                  1.06,                -0.13,         0.036,        3592
86d27a1507a8431aada713f3f2b49a86,   5.0,   resnet,  adam, 0.01,       Sim,       0.939,           0.943,           0.885,               0.673,         0.964,               1.0,         0.916,             0.993,         0.913,             0.912,         0.703,             0.353,                    0.5,                -23.96,                 -0.14,               -49.84,                  3.74,                 8.43,         0.043,        3762
0519fa1f142549d39b448a07fa309107,   5.0,   resnet,ranger, 0.01,       Sim,       0.937,           0.961,           0.813,               0.836,         0.982,             0.991,         0.949,             0.969,         0.891,             0.941,         0.756,             0.702,                   2.63,                  2.82,                   5.6,                -7.12,                  0.88,                  2.1,         0.044,        3762
1c6f3dc7ee844662b288be93b1c91235,   5.0,regnet32y,  adam,  0.0,       Sim,        0.93,           0.945,           0.833,               0.897,         0.991,             0.982,          0.95,             0.951,          0.87,             0.955,         0.696,             0.842,                   1.54,                  7.62,                  9.77,                20.97,                 -0.88,                  0.1,         0.043,        4182
05155b3a1dac42d18b974104c98b9053,   5.0,regnet32y,  adam, 0.01,       Sim,       0.926,           0.937,           0.837,               0.845,         0.982,               1.0,         0.953,             0.989,          0.87,             0.882,         0.787,             0.771,                   1.21,                  0.93,                  1.47,                -2.03,                  1.83,                 3.73,         0.044,        4182
