backbone,best_auc_improvement(%),avg_auc_improvement(%),best_sn_improvement(%),avg_sn_improvement(%),best_sp_improvement(%),avg_sp_improvement(%),total_mem_mb,inference_time,Batch Size
efficient,5.57 ± (0.0),-2.1 ± (0.0),9.65 ± (0.0),0.77 ± (0.0),2.86 ± (0.0),3.56 ± (0.0),3002.0,0.033,16
inception,5.5 ± (4.44),5.54 ± (4.06),17.33 ± (8.1),15.8 ± (8.74),2.41 ± (2.1),1.45 ± (4.19),4747.0,0.041,16
mobile,0.26 ± (0.0),7.79 ± (0.0),8.24 ± (0.0),34.54 ± (0.0),1.83 ± (0.0),-0.99 ± (0.0),1662.0,0.019,16
regnet16x,9.01 ± (3.92),9.32 ± (2.13),14.58 ± (7.09),12.54 ± (12.77),8.88 ± (9.09),9.59 ± (10.42),2405.33,0.022,16
regnet16y,3.41 ± (3.01),4.34 ± (5.8),4.66 ± (4.16),19.1 ± (9.8),3.43 ± (1.48),3.32 ± (2.36),2812.0,0.024,16
regnet32x,2.33 ± (5.26),6.06 ± (7.63),9.51 ± (8.63),17.62 ± (8.33),0.53 ± (2.63),-0.53 ± (3.82),3600.0,0.024,16
regnet32y,1.38 ± (0.23),4.28 ± (4.73),5.62 ± (5.87),9.47 ± (16.26),0.48 ± (1.92),1.92 ± (2.57),4182.0,0.027,16
regnetx,6.61 ± (1.03),7.03 ± (3.3),14.18 ± (3.27),32.93 ± (13.03),0.95 ± (1.83),2.21 ± (0.7),1679.0,0.02,16
resnet,1.56 ± (1.51),-10.57 ± (18.94),2.73 ± (4.06),-28.48 ± (30.21),2.31 ± (2.02),5.26 ± (4.48),3762.0,0.044,16
shuffle,1.36 ± (4.13),2.14 ± (7.55),5.48 ± (4.56),8.53 ± (20.61),0.88 ± (1.4),1.23 ± (1.89),1057.0,0.022,16
