model_id,backbone,optim,lr,randaugop,output_tab,val_best_auc,avg_best_auc_val,std_val_auc,idx_max_sp_val,idx_max_sn_val,idx_avg_sp_val,idx_avg_sn_val
a948d6ee6c3f4fbb8804e4a51aea2890,inception,ranger,0.0,0,0.0,0.9,0.795 (±0.066),0.07,0.94,0.88,0.92,0.67
fc6844cdd10442dc9547ef99311b76df,inception,ranger,0.0,1,0.0,0.89,0.802 (±0.057),0.06,0.97,0.88,0.91,0.69
d1a9ffcb9a9a4dcb844c13765f814473,inception,ranger,0.0,2,0.0,0.85,0.787 (±0.045),0.04,0.97,0.76,0.88,0.69
b0443691a9cd47e48f38aeaa442be98a,inception,ranger,0.0,3,0.0,0.87,0.787 (±0.055),0.06,0.94,0.85,0.9,0.68
2d513aba253b40a68dcc1f3c2ed415fc,inception,ranger,0.0,4,0.0,0.86,0.785 (±0.056),0.06,0.94,0.79,0.89,0.68
a50e719c914f4e07a6dc5fe36c191780,regnet16x,radam,0.0,0,0.0,0.9,0.818 (±0.052),0.05,0.93,0.88,0.91,0.72
66abd4a1094549a6a010aa0f20feba71,regnet16x,radam,0.0,1,0.0,0.87,0.811 (±0.038),0.04,0.96,0.79,0.91,0.71
e1d7beb3f78f4cf1b7a8bb7dd5822c48,regnet16x,radam,0.0,2,0.0,0.86,0.808 (±0.049),0.05,0.94,0.87,0.88,0.74
d3cce76b03c44eeb9ac1c35cfeb71ad2,regnet16x,radam,0.0,3,0.0,0.87,0.805 (±0.047),0.05,0.96,0.85,0.91,0.7
0ba2687855d4435d861873873a139bcd,regnet16x,radam,0.0,4,0.0,0.86,0.8 (±0.046),0.05,0.97,0.79,0.93,0.67
b674627d958947d79102841cdd7e2d90,regnet16x,radam,0.01,0,5.0,0.99,0.927 (±0.04),0.04,0.99,1.0,0.96,0.89
3c7d5f518e4b41ba856be357d074ddaf,regnet16x,radam,0.01,1,5.0,0.97,0.922 (±0.031),0.03,0.99,0.96,0.94,0.9
c36921fe78f9415ba55b8dfe64a562f8,regnet16x,radam,0.01,2,5.0,0.98,0.919 (±0.039),0.04,0.99,0.98,0.97,0.87
045f2241310845b1895949fad47a87df,regnet16x,radam,0.01,3,5.0,0.98,0.93 (±0.028),0.03,0.99,0.98,0.97,0.89
76dc260776a24cfab89591e7c9b61571,regnet16x,radam,0.01,4,5.0,0.99,0.928 (±0.038),0.04,1.0,0.98,0.95,0.9
