backbone,batch_size,mem_usage,output_tab,double_img
regnety,16,1800,0,0
regnetx,16,1706,0,0
regnet16y,16,2358,0,0
regnet16x,16,2130,0,0
regnet32y,16,3182,0,0
regnet32x,16,2848,0,0
inception,16,3384,0,0
resnet,16,2700,0,0
vit,16,4864,0,0
efficient,16,2378,0,0
mobile,16,1676,0,0
shuffle,16,1326,0,0
regnety,16,1802,5,0
regnetx,16,1712,5,0
regnet16y,16,2368,5,0
regnet16x,16,2148,5,0
regnet32y,16,3194,5,0
regnet32x,16,2890,5,0
inception,16,3428,5,0
resnet,16,2774,5,0
vit,16,4866,5,0
efficient,16,2394,5,0
mobile,16,1684,5,0
shuffle,16,1350,5,0
regnety,16,2678,0,1
regnetx,16,2446,0,1
regnet16y,16,3828,0,1
regnet16x,16,3284,0,1
regnet32y,16,5296,0,1
regnet32x,16,4666,0,1
inception,16,5404,0,1
resnet,16,4756,0,1
vit,16,9959,0,1
efficient,16,3886,0,1
mobile,16,2456,0,1
shuffle,16,1896,0,1
regnety,16,2678,5,1
regnetx,16,2446,5,1
regnet16y,16,3828,5,1
regnet16x,16,3284,5,1
regnet32y,16,5296,5,1
regnet32x,16,4666,5,1
inception,16,5444,5,1
resnet,16,5762,5,1
vit,16,9959,5,1
efficient,16,3886,5,1
mobile,16,2460,5,1
shuffle,16,1896,5,1
